orderNumber,orderDate,requiredDate,status,customerNumber,amount,paymentMethod
37,2024-10-04,2024-10-04,Cancelled,334,9327.3,Credit Card
38,2024-03-02,2024-03-02,Processing,629,7183.58,Credit Card
39,2024-01-25,2024-01-25,On Hold,740,5150.85,Credit Card
40,2024-09-05,2024-09-05,Shipped,890,4318.78,PayPal
41,2024-01-02,2024-01-02,Processing,507,8217.44,Credit Card
42,2024-10-17,2024-10-17,Processing,27,5147.72,Bank Transfer
43,2024-08-30,2024-08-30,Cancelled,577,8374.01,Cash
44,2024-11-13,2024-11-13,Shipped,728,446.81,Bank Transfer
45,2024-04-22,2024-04-22,Cancelled,320,2864.45,Bank Transfer
46,2024-03-28,2024-03-28,Processing,228,3630.98,PayPal
47,2024-10-06,2024-10-06,Processing,600,8977.86,Cash
48,2024-03-02,2024-03-02,Processing,513,7065.42,PayPal
49,2024-04-25,2024-04-25,On Hold,410,7352.89,PayPal
50,2024-08-17,2024-08-17,Shipped,199,8477.35,PayPal
51,2024-04-03,2024-04-03,Cancelled,211,9920.46,PayPal
52,2024-11-20,2024-11-20,Shipped,300,4780.65,Bank Transfer
53,2024-08-15,2024-08-15,Processing,52,6502.87,Credit Card
54,2024-01-30,2024-01-30,Processing,152,9398.52,PayPal
55,2024-01-26,2024-01-26,Shipped,290,5087.86,Credit Card
56,2024-06-17,2024-06-17,Processing,316,2971.37,Credit Card
57,2024-03-10,2024-03-10,On Hold,975,1935.55,Cash
58,2024-07-04,2024-07-04,Shipped,548,1230.81,PayPal
59,2024-04-01,2024-04-01,Processing,620,9294.83,Cash
60,2024-08-10,2024-08-10,Processing,93,8608.23,Cash
61,2024-09-19,2024-09-19,Cancelled,345,7377.53,Cash
62,2024-05-23,2024-05-23,On Hold,404,4718.15,PayPal
63,2024-05-11,2024-05-11,Shipped,919,7962.11,Bank Transfer
64,2024-10-08,2024-10-08,Shipped,169,8405.05,Credit Card
65,2024-06-04,2024-06-04,Cancelled,728,3260.83,Bank Transfer
66,2024-03-21,2024-03-21,Shipped,898,3772.92,Credit Card
67,2024-05-26,2024-05-26,Cancelled,428,7710.88,Cash
68,2024-11-15,2024-11-15,Cancelled,567,7852.99,Bank Transfer
69,2024-03-30,2024-03-30,Processing,428,6482.71,Credit Card
70,2024-08-07,2024-08-07,Shipped,883,862.86,Credit Card
71,2024-11-07,2024-11-07,Shipped,229,8481.42,Cash
72,2024-07-13,2024-07-13,Processing,681,3433.17,Cash
73,2024-03-17,2024-03-17,On Hold,845,2511.22,Credit Card
74,2024-01-28,2024-01-28,Cancelled,256,7391.12,Bank Transfer
75,2024-07-10,2024-07-10,Cancelled,632,4325.81,Credit Card
76,2024-01-26,2024-01-26,Processing,771,6555.07,Cash
77,2024-02-12,2024-02-12,On Hold,621,9174.73,Credit Card
78,2024-11-22,2024-11-22,Processing,299,9850.68,Cash
79,2024-03-24,2024-03-24,Processing,546,3859.91,Cash
80,2024-08-15,2024-08-15,On Hold,813,6060.05,Bank Transfer
81,2024-01-30,2024-01-30,Cancelled,419,9869.26,Bank Transfer
82,2024-09-10,2024-09-10,On Hold,98,5997.25,Credit Card
83,2024-04-03,2024-04-03,Shipped,289,4033.84,Bank Transfer
84,2024-06-19,2024-06-19,Cancelled,963,6533.18,Cash
85,2024-02-05,2024-02-05,Shipped,153,4226.87,Credit Card
86,2024-04-03,2024-04-03,Shipped,174,1156.32,Bank Transfer
87,2024-01-08,2024-01-08,Processing,309,7390.02,Credit Card
88,2024-04-17,2024-04-17,On Hold,659,6570.59,Cash
89,2024-10-10,2024-10-10,Shipped,372,5717.69,PayPal
90,2024-06-12,2024-06-12,Cancelled,989,7930.23,Bank Transfer
91,2024-03-02,2024-03-02,Processing,13,2350.29,PayPal
92,2024-11-14,2024-11-14,Shipped,202,7828.58,Bank Transfer
93,2024-10-21,2024-10-21,On Hold,75,9804.53,Cash
94,2024-11-17,2024-11-17,Processing,834,4043.78,PayPal
95,2024-03-18,2024-03-18,Processing,90,2770.8,PayPal
96,2024-01-27,2024-01-27,On Hold,186,796.85,PayPal
97,2024-04-02,2024-04-02,On Hold,331,9767.9,PayPal
98,2024-06-10,2024-06-10,Shipped,28,4655.46,Credit Card
99,2024-10-28,2024-10-28,Cancelled,626,7094.07,Bank Transfer
100,2024-03-12,2024-03-12,On Hold,944,362.62,Cash
101,2024-06-05,2024-06-05,Cancelled,323,8803.25,Bank Transfer
102,2024-09-28,2024-09-28,Processing,503,5534.12,Credit Card
103,2024-09-26,2024-09-26,Cancelled,616,9780.64,Cash
104,2024-02-26,2024-02-26,Shipped,828,7996.26,Bank Transfer
105,2024-07-05,2024-07-05,Shipped,735,9608.9,Bank Transfer
106,2024-09-05,2024-09-05,Shipped,64,3871.05,Bank Transfer
107,2024-02-09,2024-02-09,On Hold,693,4550.97,Bank Transfer
108,2024-07-25,2024-07-25,On Hold,216,6433.8,Bank Transfer
109,2024-02-23,2024-02-23,Processing,424,1100.46,Bank Transfer
110,2024-09-06,2024-09-06,Processing,57,8709.79,PayPal
111,2024-08-10,2024-08-10,On Hold,892,1448.9,Bank Transfer
112,2024-04-30,2024-04-30,Shipped,12,8555.28,Cash
113,2024-08-18,2024-08-18,Processing,647,4484.33,Cash
114,2024-06-18,2024-06-18,On Hold,491,2631.68,Credit Card
115,2024-09-09,2024-09-09,Cancelled,848,4608.72,Credit Card
116,2024-08-12,2024-08-12,Cancelled,30,3553.85,Credit Card
117,2024-02-09,2024-02-09,Cancelled,668,5536.7,Credit Card
118,2024-07-01,2024-07-01,On Hold,916,7771.87,PayPal
119,2024-01-22,2024-01-22,Shipped,241,3676.89,Cash
120,2024-07-27,2024-07-27,Cancelled,183,6838.92,PayPal
121,2024-03-05,2024-03-05,Cancelled,797,1113.67,Cash
122,2024-07-30,2024-07-30,Cancelled,137,4819.68,Credit Card
123,2024-06-15,2024-06-15,Cancelled,195,8804.34,Cash
124,2024-09-30,2024-09-30,On Hold,261,4869.64,Cash
125,2024-08-28,2024-08-28,Cancelled,704,7880.41,Credit Card
126,2024-03-22,2024-03-22,On Hold,368,8977.22,Cash
127,2024-09-23,2024-09-23,Cancelled,35,7898.37,Credit Card
128,2024-10-27,2024-10-27,Processing,816,8736.95,Cash
129,2024-02-25,2024-02-25,Cancelled,5,2486.0,Credit Card
130,2024-08-09,2024-08-09,Shipped,116,6826.7,Credit Card
131,2024-05-12,2024-05-12,On Hold,756,3945.64,Credit Card
132,2024-07-30,2024-07-30,On Hold,471,7051.54,PayPal
133,2024-05-17,2024-05-17,Processing,492,4947.11,Cash
134,2024-08-04,2024-08-04,Shipped,156,1632.96,Bank Transfer
135,2024-01-21,2024-01-21,Shipped,128,2891.1,Credit Card
136,2024-09-19,2024-09-19,On Hold,620,7998.71,Bank Transfer
137,2024-08-31,2024-08-31,Cancelled,494,9545.78,Bank Transfer
138,2024-11-09,2024-11-09,On Hold,609,9618.53,Cash
139,2024-10-25,2024-10-25,On Hold,966,9918.6,Credit Card
140,2024-09-12,2024-09-12,Processing,282,7561.76,Bank Transfer
141,2024-04-30,2024-04-30,Cancelled,693,1307.73,Bank Transfer
142,2024-02-03,2024-02-03,Processing,39,8831.9,Credit Card
143,2024-02-19,2024-02-19,On Hold,137,4011.75,Credit Card
144,2024-06-15,2024-06-15,On Hold,526,5988.07,PayPal
145,2024-10-25,2024-10-25,Cancelled,855,5902.6,Credit Card
146,2024-01-25,2024-01-25,On Hold,584,9056.27,PayPal
147,2024-09-03,2024-09-03,Cancelled,253,2486.78,Bank Transfer
148,2024-02-01,2024-02-01,On Hold,64,6838.42,Credit Card
149,2024-04-09,2024-04-09,Shipped,569,1218.07,Bank Transfer
150,2024-07-16,2024-07-16,Processing,397,9031.82,PayPal
151,2024-11-21,2024-11-21,Processing,423,2832.04,Bank Transfer
152,2024-02-28,2024-02-28,Processing,175,1591.17,PayPal
153,2024-02-05,2024-02-05,Cancelled,84,4125.25,PayPal
154,2024-08-19,2024-08-19,Cancelled,315,8667.21,Bank Transfer
155,2024-09-05,2024-09-05,Cancelled,122,933.26,Bank Transfer
156,2024-01-03,2024-01-03,Cancelled,908,9798.78,Cash
157,2024-06-16,2024-06-16,Cancelled,191,6443.35,Cash
158,2024-09-18,2024-09-18,Cancelled,473,9641.92,Bank Transfer
159,2024-05-30,2024-05-30,Cancelled,747,6298.04,Bank Transfer
160,2024-01-16,2024-01-16,Processing,327,5381.98,Cash
161,2024-10-02,2024-10-02,Shipped,17,264.62,Credit Card
162,2024-04-25,2024-04-25,Cancelled,454,3731.02,Bank Transfer
163,2024-10-02,2024-10-02,Processing,319,1191.69,PayPal
164,2024-11-13,2024-11-13,Shipped,671,5101.36,Credit Card
165,2024-07-12,2024-07-12,Processing,215,4081.13,Cash
166,2024-02-08,2024-02-08,Processing,104,8856.43,Cash
167,2024-05-08,2024-05-08,On Hold,262,5963.24,Bank Transfer
168,2024-10-30,2024-10-30,Cancelled,46,9566.19,Cash
169,2024-09-22,2024-09-22,Cancelled,2,3563.64,Cash
170,2024-03-08,2024-03-08,On Hold,452,1235.34,Credit Card
171,2024-07-14,2024-07-14,On Hold,663,6466.92,Cash
172,2024-02-28,2024-02-28,On Hold,955,7289.58,Bank Transfer
173,2024-05-18,2024-05-18,On Hold,468,900.32,Cash
174,2024-01-01,2024-01-01,Shipped,856,3459.85,Credit Card
175,2024-03-12,2024-03-12,Shipped,883,311.98,Credit Card
176,2024-06-03,2024-06-03,Processing,51,1488.5,Bank Transfer
177,2024-01-06,2024-01-06,On Hold,586,5185.13,Cash
178,2024-09-26,2024-09-26,On Hold,624,2966.95,PayPal
179,2024-03-07,2024-03-07,Processing,518,4755.88,Cash
180,2024-09-03,2024-09-03,Processing,67,3893.61,Bank Transfer
181,2024-06-12,2024-06-12,Processing,849,7924.06,Bank Transfer
182,2024-02-03,2024-02-03,Processing,584,1096.11,Cash
183,2024-09-17,2024-09-17,Shipped,379,4222.01,PayPal
184,2024-02-16,2024-02-16,Processing,843,431.15,PayPal
185,2024-05-19,2024-05-19,Shipped,904,9137.18,Bank Transfer
186,2024-06-30,2024-06-30,Shipped,705,2720.22,Cash
187,2024-07-30,2024-07-30,Cancelled,747,947.69,Cash
188,2024-11-06,2024-11-06,Cancelled,396,1166.39,Credit Card
189,2024-06-01,2024-06-01,On Hold,25,6570.69,PayPal
190,2024-01-06,2024-01-06,Shipped,417,2701.9,Cash
191,2024-01-02,2024-01-02,Processing,671,8653.08,Bank Transfer
192,2024-06-02,2024-06-02,Shipped,307,286.66,PayPal
193,2024-04-09,2024-04-09,Processing,859,5176.19,Credit Card
194,2024-01-05,2024-01-05,Shipped,611,3977.98,PayPal
195,2024-08-30,2024-08-30,Processing,355,1009.14,Credit Card
196,2024-06-17,2024-06-17,On Hold,715,1915.07,PayPal
197,2024-09-12,2024-09-12,Cancelled,818,8658.23,Cash
198,2024-06-06,2024-06-06,Cancelled,780,8326.82,Cash
199,2024-01-23,2024-01-23,Processing,444,4908.89,PayPal
200,2024-03-21,2024-03-21,Processing,536,2768.56,Bank Transfer
201,2024-03-25,2024-03-25,Processing,565,5890.53,PayPal
202,2024-04-29,2024-04-29,Shipped,46,998.31,PayPal
203,2024-02-23,2024-02-23,Cancelled,296,8750.5,Cash
204,2024-10-21,2024-10-21,Processing,978,2631.09,PayPal
205,2024-04-16,2024-04-16,Cancelled,252,1175.18,Cash
206,2024-06-22,2024-06-22,On Hold,730,5195.24,PayPal
207,2024-03-10,2024-03-10,Processing,612,7581.58,Cash
208,2024-11-26,2024-11-26,Cancelled,965,6770.08,Cash
209,2024-04-23,2024-04-23,On Hold,206,2728.15,Credit Card
210,2024-07-09,2024-07-09,Cancelled,636,240.16,PayPal
211,2024-11-02,2024-11-02,Cancelled,482,9643.99,Cash
212,2024-04-10,2024-04-10,Cancelled,215,4904.93,Credit Card
213,2024-05-24,2024-05-24,On Hold,640,9063.99,Credit Card
214,2024-09-08,2024-09-08,Cancelled,303,6407.34,PayPal
215,2024-08-16,2024-08-16,Processing,346,525.76,Credit Card
216,2024-08-16,2024-08-16,Cancelled,328,6634.34,Credit Card
217,2024-04-11,2024-04-11,Cancelled,977,7806.96,Cash
218,2024-10-21,2024-10-21,Shipped,388,7871.89,Credit Card
219,2024-06-06,2024-06-06,On Hold,911,215.48,Bank Transfer
220,2024-11-06,2024-11-06,Cancelled,747,9815.03,Bank Transfer
221,2024-03-27,2024-03-27,Shipped,256,1645.24,Cash
222,2024-10-03,2024-10-03,Shipped,660,7085.57,Cash
223,2024-10-06,2024-10-06,Processing,754,7123.53,Bank Transfer
224,2024-02-02,2024-02-02,On Hold,362,5696.3,Cash
225,2024-07-31,2024-07-31,Cancelled,726,3214.3,Bank Transfer
226,2024-09-14,2024-09-14,Cancelled,788,9758.68,PayPal
227,2024-08-06,2024-08-06,On Hold,977,846.92,Credit Card
228,2024-09-13,2024-09-13,On Hold,161,1106.31,Credit Card
229,2024-10-21,2024-10-21,On Hold,954,1173.53,Credit Card
230,2024-03-06,2024-03-06,Processing,160,7899.08,PayPal
231,2024-04-23,2024-04-23,Processing,535,8827.89,Cash
232,2024-04-09,2024-04-09,Cancelled,302,8514.13,Bank Transfer
233,2024-01-18,2024-01-18,Shipped,664,4863.34,PayPal
234,2024-11-16,2024-11-16,Shipped,846,5664.43,Credit Card
235,2024-10-25,2024-10-25,On Hold,757,4507.76,PayPal
236,2024-01-05,2024-01-05,Shipped,202,9339.98,PayPal
237,2024-10-17,2024-10-17,On Hold,667,6145.1,Credit Card
238,2024-09-16,2024-09-16,On Hold,451,6474.84,Cash
239,2024-08-23,2024-08-23,Cancelled,660,8402.51,Cash
240,2024-05-23,2024-05-23,Cancelled,60,7999.37,Cash
241,2024-04-04,2024-04-04,Cancelled,248,7953.42,Cash
242,2024-07-15,2024-07-15,Cancelled,708,5277.37,Credit Card
243,2024-10-16,2024-10-16,Processing,155,1782.96,PayPal
244,2024-03-22,2024-03-22,Processing,347,658.63,Bank Transfer
245,2024-07-26,2024-07-26,Processing,838,9870.49,Cash
246,2024-05-01,2024-05-01,On Hold,619,4524.3,Bank Transfer
247,2024-01-18,2024-01-18,Shipped,801,5488.46,PayPal
248,2024-08-17,2024-08-17,Cancelled,999,3687.98,Credit Card
249,2024-01-21,2024-01-21,Cancelled,20,2143.9,Bank Transfer
250,2024-10-04,2024-10-04,On Hold,491,9266.63,PayPal
251,2024-09-08,2024-09-08,Cancelled,342,9230.52,Cash
252,2024-01-24,2024-01-24,On Hold,694,8511.15,Bank Transfer
253,2024-03-03,2024-03-03,Processing,818,2853.24,Bank Transfer
254,2024-06-12,2024-06-12,On Hold,117,4873.93,Bank Transfer
255,2024-01-06,2024-01-06,Processing,539,3906.41,PayPal
256,2024-09-08,2024-09-08,Processing,533,1928.99,Cash
257,2024-07-20,2024-07-20,On Hold,115,421.92,Credit Card
258,2024-11-22,2024-11-22,Shipped,308,2117.46,PayPal
259,2024-03-06,2024-03-06,On Hold,759,8744.61,Credit Card
260,2024-01-29,2024-01-29,Processing,285,7029.13,Cash
261,2024-11-26,2024-11-26,Processing,988,9093.13,Cash
262,2024-07-01,2024-07-01,Cancelled,330,3543.98,Cash
263,2024-02-27,2024-02-27,Cancelled,162,4547.33,Cash
264,2024-01-19,2024-01-19,Cancelled,432,245.87,Cash
265,2024-05-26,2024-05-26,Shipped,246,3425.38,Bank Transfer
266,2024-05-27,2024-05-27,Cancelled,569,8252.97,PayPal
267,2024-11-15,2024-11-15,Shipped,187,551.44,Cash
268,2024-08-25,2024-08-25,Cancelled,312,9733.34,Cash
269,2024-06-30,2024-06-30,On Hold,503,5074.39,Credit Card
270,2024-08-24,2024-08-24,Cancelled,722,3308.42,Bank Transfer
271,2024-08-22,2024-08-22,On Hold,779,9635.46,Cash
272,2024-05-15,2024-05-15,Shipped,668,2324.98,Cash
273,2024-07-16,2024-07-16,Cancelled,23,9503.72,Credit Card
274,2024-03-17,2024-03-17,Processing,843,9504.58,Cash
275,2024-11-17,2024-11-17,Cancelled,659,8967.06,Cash
276,2024-06-04,2024-06-04,Cancelled,645,7866.52,Bank Transfer
277,2024-09-18,2024-09-18,On Hold,808,535.56,Credit Card
278,2024-07-26,2024-07-26,Shipped,426,7765.43,PayPal
279,2024-11-12,2024-11-12,Cancelled,179,5072.14,Credit Card
280,2024-04-15,2024-04-15,Shipped,776,7111.66,Bank Transfer
281,2024-11-17,2024-11-17,Processing,731,2827.71,PayPal
282,2024-04-15,2024-04-15,On Hold,12,370.89,Credit Card
283,2024-05-16,2024-05-16,On Hold,593,5015.66,Credit Card
284,2024-06-15,2024-06-15,Cancelled,418,7770.49,Cash
285,2024-10-04,2024-10-04,On Hold,815,9369.06,Credit Card
286,2024-11-18,2024-11-18,Processing,546,6007.77,PayPal
287,2024-10-02,2024-10-02,Cancelled,355,7754.21,Credit Card
288,2024-06-12,2024-06-12,Shipped,211,7443.52,PayPal
289,2024-07-22,2024-07-22,On Hold,173,1097.04,PayPal
290,2024-05-12,2024-05-12,Processing,755,1854.09,Bank Transfer
291,2024-04-18,2024-04-18,Processing,53,4510.3,Bank Transfer
292,2024-05-17,2024-05-17,Shipped,438,5139.03,Bank Transfer
293,2024-06-09,2024-06-09,On Hold,94,727.93,Bank Transfer
294,2024-09-24,2024-09-24,On Hold,197,6355.9,Cash
295,2024-07-01,2024-07-01,Processing,672,5073.69,PayPal
296,2024-04-15,2024-04-15,Shipped,720,3957.63,PayPal
297,2024-05-31,2024-05-31,Shipped,634,6960.15,Bank Transfer
298,2024-07-11,2024-07-11,On Hold,263,7206.4,Bank Transfer
299,2024-08-02,2024-08-02,Cancelled,867,479.1,Cash
300,2024-03-25,2024-03-25,On Hold,977,1235.7,Cash
301,2024-10-29,2024-10-29,Cancelled,80,1996.11,Bank Transfer
302,2024-11-19,2024-11-19,Shipped,932,4475.02,PayPal
303,2024-07-28,2024-07-28,On Hold,96,7801.34,PayPal
304,2024-02-13,2024-02-13,Cancelled,418,4449.9,PayPal
305,2024-05-26,2024-05-26,Processing,88,8789.14,Cash
306,2024-01-21,2024-01-21,On Hold,310,9851.4,PayPal
307,2024-09-07,2024-09-07,Cancelled,322,1693.07,Cash
308,2024-03-26,2024-03-26,Shipped,919,4339.95,Cash
309,2024-06-03,2024-06-03,Cancelled,129,709.67,PayPal
310,2024-06-30,2024-06-30,Cancelled,330,5547.59,PayPal
311,2024-09-01,2024-09-01,Cancelled,958,3633.5,PayPal
312,2024-03-14,2024-03-14,Processing,328,9251.5,Bank Transfer
313,2024-02-09,2024-02-09,Cancelled,404,9152.29,Cash
314,2024-02-06,2024-02-06,Cancelled,401,5055.73,Cash
315,2024-03-06,2024-03-06,On Hold,496,3365.87,PayPal
316,2024-01-01,2024-01-01,Processing,904,8288.88,PayPal
317,2024-01-23,2024-01-23,Processing,542,4777.82,Credit Card
318,2024-06-27,2024-06-27,Shipped,943,4995.78,Credit Card
319,2024-05-30,2024-05-30,Shipped,110,7279.92,PayPal
320,2024-02-13,2024-02-13,Cancelled,143,6899.03,Bank Transfer
321,2024-09-23,2024-09-23,On Hold,204,8874.22,PayPal
322,2024-11-16,2024-11-16,On Hold,991,9194.39,Cash
323,2024-09-09,2024-09-09,Shipped,806,9593.08,Bank Transfer
324,2024-10-26,2024-10-26,Shipped,11,6928.39,Bank Transfer
325,2024-02-11,2024-02-11,Shipped,730,944.44,Credit Card
326,2024-11-02,2024-11-02,Processing,854,4479.24,Credit Card
327,2024-11-08,2024-11-08,On Hold,712,6829.51,Bank Transfer
328,2024-03-29,2024-03-29,Shipped,468,3909.5,Credit Card
329,2024-02-25,2024-02-25,Cancelled,680,1359.72,Bank Transfer
330,2024-05-25,2024-05-25,On Hold,108,7610.76,Bank Transfer
331,2024-04-23,2024-04-23,Processing,312,3824.15,PayPal
332,2024-05-30,2024-05-30,Cancelled,12,7323.7,Credit Card
333,2024-02-28,2024-02-28,Processing,968,9824.06,Cash
334,2024-09-10,2024-09-10,Cancelled,968,8689.07,Cash
335,2024-05-16,2024-05-16,Cancelled,211,6185.84,PayPal
336,2024-02-05,2024-02-05,On Hold,531,8394.78,Credit Card
337,2024-02-09,2024-02-09,Processing,803,9577.09,Credit Card
338,2024-03-30,2024-03-30,Cancelled,771,4005.91,Credit Card
339,2024-06-29,2024-06-29,Processing,105,5784.2,Bank Transfer
340,2024-03-04,2024-03-04,On Hold,906,3656.44,Bank Transfer
341,2024-09-14,2024-09-14,Cancelled,457,6211.62,PayPal
342,2024-09-19,2024-09-19,Shipped,824,2811.86,PayPal
343,2024-01-22,2024-01-22,Cancelled,424,7420.87,PayPal
344,2024-11-06,2024-11-06,On Hold,18,4273.75,Credit Card
345,2024-02-20,2024-02-20,Shipped,773,8259.08,Bank Transfer
346,2024-01-25,2024-01-25,Cancelled,368,4960.12,Bank Transfer
347,2024-04-25,2024-04-25,Shipped,913,2806.09,PayPal
348,2024-08-11,2024-08-11,On Hold,619,3035.02,Bank Transfer
349,2024-10-29,2024-10-29,Processing,592,6175.47,Credit Card
350,2024-02-07,2024-02-07,On Hold,604,836.94,Cash
351,2024-10-26,2024-10-26,Shipped,760,6082.22,Credit Card
352,2024-04-18,2024-04-18,Cancelled,789,6203.63,Bank Transfer
353,2024-09-13,2024-09-13,Cancelled,612,771.31,Cash
354,2024-11-26,2024-11-26,On Hold,761,9723.45,Credit Card
355,2024-02-12,2024-02-12,Shipped,665,4568.39,Credit Card
356,2024-02-19,2024-02-19,On Hold,627,9261.04,Cash
357,2024-03-08,2024-03-08,On Hold,625,9128.11,PayPal
358,2024-10-02,2024-10-02,Shipped,396,2951.25,Cash
359,2024-11-26,2024-11-26,Shipped,102,9213.35,Credit Card
360,2024-07-15,2024-07-15,Processing,773,1954.26,Credit Card
361,2024-11-09,2024-11-09,Cancelled,168,7802.92,PayPal
362,2024-11-14,2024-11-14,Cancelled,299,1451.82,Bank Transfer
363,2024-04-29,2024-04-29,Processing,199,9460.05,Cash
364,2024-05-18,2024-05-18,Cancelled,76,6401.23,Bank Transfer
365,2024-06-16,2024-06-16,Shipped,600,1660.67,Credit Card
366,2024-01-30,2024-01-30,Cancelled,946,4954.27,PayPal
367,2024-05-27,2024-05-27,On Hold,44,9370.45,PayPal
368,2024-08-27,2024-08-27,Cancelled,778,9302.28,PayPal
369,2024-10-20,2024-10-20,On Hold,341,627.26,Credit Card
370,2024-05-02,2024-05-02,Shipped,80,3048.48,Bank Transfer
371,2024-11-07,2024-11-07,Processing,224,1804.66,Bank Transfer
372,2024-04-19,2024-04-19,Processing,267,7284.92,Credit Card
373,2024-02-04,2024-02-04,Cancelled,373,4645.31,Credit Card
374,2024-04-11,2024-04-11,Cancelled,891,1001.63,Credit Card
375,2024-10-18,2024-10-18,Cancelled,451,6531.32,Bank Transfer
376,2024-07-29,2024-07-29,Cancelled,648,8455.12,Credit Card
377,2024-11-10,2024-11-10,Shipped,389,4421.53,Credit Card
378,2024-04-28,2024-04-28,On Hold,475,8348.04,Cash
379,2024-02-27,2024-02-27,Cancelled,33,5524.86,PayPal
380,2024-10-27,2024-10-27,On Hold,573,9258.05,Cash
381,2024-10-23,2024-10-23,Cancelled,669,2858.49,Cash
382,2024-01-21,2024-01-21,Cancelled,735,6547.34,PayPal
383,2024-11-08,2024-11-08,Shipped,275,4850.56,Cash
384,2024-01-29,2024-01-29,Shipped,562,2675.36,Bank Transfer
385,2024-09-07,2024-09-07,Cancelled,850,636.25,Bank Transfer
386,2024-04-05,2024-04-05,Processing,760,1881.09,PayPal
387,2024-03-12,2024-03-12,Processing,494,9636.39,PayPal
388,2024-01-25,2024-01-25,On Hold,689,5143.2,Bank Transfer
389,2024-10-10,2024-10-10,Processing,142,2256.34,Credit Card
390,2024-04-13,2024-04-13,Shipped,471,3726.39,PayPal
391,2024-09-06,2024-09-06,On Hold,352,7372.17,Cash
392,2024-01-15,2024-01-15,On Hold,850,4245.2,Bank Transfer
393,2024-06-15,2024-06-15,Processing,984,6303.37,PayPal
394,2024-10-12,2024-10-12,Processing,40,8224.94,PayPal
395,2024-02-28,2024-02-28,On Hold,924,1626.7,Bank Transfer
396,2024-07-17,2024-07-17,Processing,5,8764.49,Credit Card
397,2024-07-24,2024-07-24,Processing,39,6481.07,PayPal
398,2024-01-09,2024-01-09,On Hold,564,391.4,Cash
399,2024-07-29,2024-07-29,Shipped,169,9118.49,Bank Transfer
400,2024-09-28,2024-09-28,On Hold,312,2030.67,Bank Transfer
401,2024-07-22,2024-07-22,Shipped,926,6871.54,Cash
402,2024-02-27,2024-02-27,Shipped,872,8674.0,PayPal
403,2024-02-25,2024-02-25,Cancelled,227,9700.05,Credit Card
404,2024-07-22,2024-07-22,On Hold,712,209.66,Cash
405,2024-05-29,2024-05-29,Processing,582,7013.54,PayPal
406,2024-01-16,2024-01-16,Cancelled,424,5323.19,Credit Card
407,2024-07-13,2024-07-13,On Hold,346,7423.51,Cash
408,2024-09-01,2024-09-01,Cancelled,826,602.8,Credit Card
409,2024-02-10,2024-02-10,Processing,516,9640.88,Bank Transfer
410,2024-01-27,2024-01-27,Shipped,83,7925.84,Credit Card
411,2024-02-16,2024-02-16,Shipped,521,5643.65,PayPal
412,2024-10-10,2024-10-10,Cancelled,477,8794.44,Bank Transfer
413,2024-07-06,2024-07-06,Cancelled,699,5245.54,Credit Card
